#UCLA Freq(MHz), Gain (dBi)
198.95176120216212, 5.127020785219399
296.4076305345212, 6.74364896073903
400.85227448625153, 10.069284064665126
501.0634082311203, 8.12933025404157
602.056232160437, 10.854503464203233
699.0245125658631, 9.56120092378753
803.1518367397482, 10.993071593533486
900.4451764297964, 11.639722863741339
1000.7801422830926, 10.438799076212472
1108.1967568370803, 11.501154734411084
1202.1853271334726, 12.424942263279446
1302.3655028512342, 10.300230946882216
1402.7004687045305, 9.099307159353348
1499.939631847142, 9.422632794457273
1603.9740819397061, 10.300230946882216
1701.1048919874436, 9.97690531177829
1801.935186274449, 11.732101616628176
1905.5594425078477, 10.161662817551962
2002.4735463658374, 8.54503464203233